Tract_Name,County,Municipality,Median_RE_Taxes,Data_Vintage, 
Passaic County Census Tract 1818,Passaic,Paterson City,,2017-2021 American Community Survey 5-Year Estimates,No Real Estate Tax Data
Passaic County Census Tract 1819,Passaic,Paterson City,9314,2017-2021 American Community Survey 5-Year Estimates, 
Passaic County Census Tract 1820,Passaic,Paterson City,7292,2017-2021 American Community Survey 5-Year Estimates, 
Passaic County Census Tract 1821,Passaic,Paterson City,7231,2017-2021 American Community Survey 5-Year Estimates, 
Passaic County Census Tract 1822,Passaic,Paterson City,8409,2017-2021 American Community Survey 5-Year Estimates, 
Warren County Census Tract 319,Warren,Washington Township,8913,2017-2021 American Community Survey 5-Year Estimates, 
Warren County Census Tract 323,Warren,Pohatcong Township,7670,2017-2021 American Community Survey 5-Year Estimates, 
Warren County Census Tract 312,Warren,Knowlton Township/Liberty Township/Hope Township,7578,2017-2021 American Community Survey 5-Year Estimates, 
Warren County Census Tract 320,Warren,Washington Borough,7790,2017-2021 American Community Survey 5-Year Estimates, 
Warren County Census Tract 321.01,Warren,Franklin Township,9128,2017-2021 American Community Survey 5-Year Estimates, 
Warren County Census Tract 313.01,Warren,Independence Township,7264,2017-2021 American Community Survey 5-Year Estimates, 
Warren County Census Tract 315,Warren,Mansfield Township,8830,2017-2021 American Community Survey 5-Year Estimates, 
Passaic County Census Tract 1826,Passaic,Paterson City,8978,2017-2021 American Community Survey 5-Year Estimates, 
Passaic County Census Tract 1828,Passaic,Paterson City,8927,2017-2021 American Community Survey 5-Year Estimates, 
Passaic County Census Tract 1829,Passaic,Paterson City,7944,2017-2021 American Community Survey 5-Year Estimates, 
Passaic County Census Tract 1832,Passaic,Paterson City,10000,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 218.01,Essex,West Caldwell Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 89,Essex,Newark City,6176,2017-2021 American Community Survey 5-Year Estimates, 
Union County Census Tract 393.02,Union,Plainfield City,,2017-2021 American Community Survey 5-Year Estimates,No Real Estate Tax Data
Monmouth County Census Tract 8001.01,Monmouth,Highlands Borough,7431,2017-2021 American Community Survey 5-Year Estimates, 
Monmouth County Census Tract 8095.03,Monmouth,Marlboro Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Monmouth County Census Tract 8089.01,Monmouth,Spring Lake Heights Borough,7782,2017-2021 American Community Survey 5-Year Estimates, 
Monmouth County Census Tract 8095.06,Monmouth,Marlboro Township,7851,2017-2021 American Community Survey 5-Year Estimates, 
Monmouth County Census Tract 8085.02,Monmouth,Wall Township,7159,2017-2021 American Community Survey 5-Year Estimates, 
Monmouth County Census Tract 8074.01,Monmouth,Neptune Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Monmouth County Census Tract 8070.06,Monmouth,Asbury Park City,8125,2017-2021 American Community Survey 5-Year Estimates, 
Monmouth County Census Tract 8126,Monmouth,Tinton Falls Borough/Eatontown Borough,8287,2017-2021 American Community Survey 5-Year Estimates, 
Monmouth County Census Tract 8082.01,Monmouth,Bradley Beach Borough,9482,2017-2021 American Community Survey 5-Year Estimates, 
Monmouth County Census Tract 8089.02,Monmouth,Spring Lake Heights Borough,7209,2017-2021 American Community Survey 5-Year Estimates, 
Monmouth County Census Tract 8085.01,Monmouth,Wall Township,8649,2017-2021 American Community Survey 5-Year Estimates, 
Monmouth County Census Tract 8082.02,Monmouth,Bradley Beach Borough,7267,2017-2021 American Community Survey 5-Year Estimates, 
Monmouth County Census Tract 8036.01,Monmouth,Red Bank Borough,8556,2017-2021 American Community Survey 5-Year Estimates, 
Monmouth County Census Tract 8095.05,Monmouth,Marlboro Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Monmouth County Census Tract 8105.04,Monmouth,Freehold Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Monmouth County Census Tract 8036.02,Monmouth,Red Bank Borough,9089,2017-2021 American Community Survey 5-Year Estimates, 
Monmouth County Census Tract 8001.02,Monmouth,Highlands Borough,7533,2017-2021 American Community Survey 5-Year Estimates, 
Monmouth County Census Tract 8048.01,Monmouth,Tinton Falls Borough,6401,2017-2021 American Community Survey 5-Year Estimates, 
Monmouth County Census Tract 8102.01,Monmouth,Manalapan Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Monmouth County Census Tract 8102.02,Monmouth,Manalapan Township,9327,2017-2021 American Community Survey 5-Year Estimates, 
Monmouth County Census Tract 8070.05,Monmouth,Asbury Park City,9446,2017-2021 American Community Survey 5-Year Estimates, 
Monmouth County Census Tract 8105.05,Monmouth,Freehold Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Monmouth County Census Tract 8048.02,Monmouth,Tinton Falls Borough,2997,2017-2021 American Community Survey 5-Year Estimates, 
Monmouth County Census Tract 8074.02,Monmouth,Neptune Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Monmouth County Census Tract 8095.04,Monmouth,Marlboro Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Passaic County Census Tract 2036,Passaic,Prospect Park Borough,10000,2017-2021 American Community Survey 5-Year Estimates, 
Passaic County Census Tract 2460.01,Passaic,Wayne Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Passaic County Census Tract 2460.02,Passaic,Wayne Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Passaic County Census Tract 2461.01,Passaic,Wayne Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Passaic County Census Tract 2461.02,Passaic,Wayne Township,4813,2017-2021 American Community Survey 5-Year Estimates, 
Passaic County Census Tract 2461.03,Passaic,Wayne Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Warren County Census Tract 306,Warren,Phillipsburg Town,5160,2017-2021 American Community Survey 5-Year Estimates, 
Warren County Census Tract 307,Warren,Phillipsburg Town,4302,2017-2021 American Community Survey 5-Year Estimates, 
Warren County Census Tract 308,Warren,Phillipsburg Town,5243,2017-2021 American Community Survey 5-Year Estimates, 
Warren County Census Tract 309,Warren,Phillipsburg Town,3400,2017-2021 American Community Survey 5-Year Estimates, 
Warren County Census Tract 311.02,Warren,Frelinghuysen Township/Hardwick Township,9036,2017-2021 American Community Survey 5-Year Estimates, 
Passaic County Census Tract 2461.04,Passaic,Wayne Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Passaic County Census Tract 2462.01,Passaic,Wayne Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Passaic County Census Tract 2462.02,Passaic,Wayne Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Passaic County Census Tract 2462.03,Passaic,Wayne Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Passaic County Census Tract 2568.01,Passaic,West Milford Township,8618,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 208,Essex,Livingston Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 16,Essex,Newark City,6903,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 94,Essex,Newark City,8617,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 7,Essex,Newark City,6425,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 207,Essex,Livingston Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 22.02,Essex,Newark City,6035,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 3,Essex,Newark City,10000,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 125,Essex,Irvington Township,9539,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 166,Essex,Montclair Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 153,Essex,Bloomfield Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 15,Essex,Newark City,,2017-2021 American Community Survey 5-Year Estimates,No Real Estate Tax Data
Bergen County Census Tract 312,Bergen,Lyndhurst Township,9244,2017-2021 American Community Survey 5-Year Estimates, 
Bergen County Census Tract 481,Bergen,River Edge Borough,10000,2017-2021 American Community Survey 5-Year Estimates, 
Bergen County Census Tract 511,Bergen,Rutherford Borough,10000,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 228,Essex,Newark City,,2017-2021 American Community Survey 5-Year Estimates,No Real Estate Tax Data
Essex County Census Tract 78,Essex,Newark City,7836,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 106,Essex,East Orange City,10000,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 51,Essex,Newark City,5274,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 24,Hudson,Jersey City,10000,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 116,Hudson,Bayonne City,10000,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 147,Hudson,North Bergen Township,7112,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 56,Hudson,Jersey City,7211,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 9.02,Hudson,Jersey City,5760,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 43,Hudson,Jersey City,5704,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 130,Hudson,Kearny Town,9147,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 153,Hudson,West New York Town,10000,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 168,Hudson,Union City,10000,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 194,Hudson,Hoboken City,10000,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 140,Hudson,North Bergen Township,7648,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 14,Hudson,Jersey City,7744,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 132,Hudson,Kearny Town,10000,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 162,Hudson,Union City,8963,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 166,Hudson,Union City,10000,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 180,Hudson,Weehawken Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Warren County Census Tract 316.02,Warren,Oxford Township,7622,2017-2021 American Community Survey 5-Year Estimates, 
Warren County Census Tract 317,Warren,Belvidere Town,7852,2017-2021 American Community Survey 5-Year Estimates, 
Warren County Census Tract 318,Warren,Harmony Township,5260,2017-2021 American Community Survey 5-Year Estimates, 
Warren County Census Tract 321.02,Warren,Greenwich Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 4,Hudson,Jersey City,8088,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 5,Hudson,Jersey City,8093,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 7,Hudson,Jersey City,8481,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 8,Hudson,Jersey City,9289,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 11,Hudson,Jersey City,8379,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 12.02,Hudson,Jersey City,6427,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 13,Hudson,Jersey City,8629,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 18,Hudson,Jersey City,8803,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 19,Hudson,Jersey City,7868,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 21,Essex,Newark City,5401,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 25,Essex,Newark City,5401,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 20,Essex,Newark City,5738,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 26,Essex,Newark City,5599,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 28,Essex,Newark City,4967,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 39,Essex,Newark City,4125,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 41,Essex,Newark City,6309,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 128,Essex,Irvington Township,8485,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 134,Essex,Nutley Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 135,Essex,Nutley Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 138,Essex,Nutley Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 141,Essex,Belleville Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 142,Essex,Belleville Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 160,Essex,Glen Ridge Borough,10000,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 48.02,Essex,Newark City,8229,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 52,Essex,Newark City,7877,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 72,Essex,Newark City,8905,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 73,Essex,Newark City,8951,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 75.01,Essex,Newark City,7500,2017-2021 American Community Survey 5-Year Estimates, 
Passaic County Census Tract 1246.02,Passaic,Clifton City,9374,2017-2021 American Community Survey 5-Year Estimates, 
Passaic County Census Tract 1247,Passaic,Clifton City,9057,2017-2021 American Community Survey 5-Year Estimates, 
Passaic County Census Tract 1248,Passaic,Clifton City,8704,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 81,Essex,Newark City,8158,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 82,Essex,Newark City,8100,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 87,Essex,Newark City,7822,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 161,Essex,Montclair Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 162,Essex,Montclair Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 164,Essex,Montclair Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 165,Essex,Montclair Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 171,Essex,Montclair Township,9497,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 172,Essex,Montclair Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 177,Essex,West Orange Township,9943,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 180,Essex,West Orange Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 188,Essex,City of Orange Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 190,Essex,South Orange Village Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 459.03,Morris,Chester Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 436.02,Morris,Morristown Town,10000,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 436.01,Morris,Morristown Town,10000,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 403.01,Morris,Pequannock Township,7145,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 403.02,Morris,Pequannock Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 454.04,Morris,Mount Arlington Borough,9154,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 461.10,Morris,Mount Olive Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 465,Morris,Randolph Township/Victory Gardens Borough,10000,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 454.03,Morris,Mount Arlington Borough,6571,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 461.09,Morris,Mount Olive Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 461.08,Morris,Mount Olive Township,8514,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 416.05,Morris,Parsippany-Troy Hills Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 426.01,Morris,Florham Park Borough,10000,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 455.04,Morris,Roxbury Township,9692,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 426.02,Morris,Florham Park Borough,7027,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 445.03,Morris,Rockaway Township,7462,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 459.04,Morris,Chester Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 461.07,Morris,Mount Olive Township,7771,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 438.02,Morris,Morristown Town,10000,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 438.01,Morris,Morristown Town,10000,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 416.06,Morris,Parsippany-Troy Hills Township,7702,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 455.03,Morris,Roxbury Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 27.01,Middlesex,Woodbridge Township,7235,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 27.03,Middlesex,Woodbridge Township,7572,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 29.01,Middlesex,Woodbridge Township,8589,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 29.02,Middlesex,Woodbridge Township,8364,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 64.03,Middlesex,East Brunswick Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 79.07,Middlesex,Old Bridge Township,7672,2017-2021 American Community Survey 5-Year Estimates, 
Ocean County Census Tract 7160,Ocean,Lakewood Township,3865,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 65,Middlesex,East Brunswick Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 66.01,Middlesex,East Brunswick Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 66.04,Middlesex,East Brunswick Township,9738,2017-2021 American Community Survey 5-Year Estimates, 
Union County Census Tract 385,Union,Scotch Plains Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Union County Census Tract 390,Union,Plainfield City,6508,2017-2021 American Community Survey 5-Year Estimates, 
Ocean County Census Tract 7112,Ocean,Point Pleasant Borough,7075,2017-2021 American Community Survey 5-Year Estimates, 
Ocean County Census Tract 7130,Ocean,Brick Township,6365,2017-2021 American Community Survey 5-Year Estimates, 
Ocean County Census Tract 7158,Ocean,Lakewood Township,8309,2017-2021 American Community Survey 5-Year Estimates, 
Ocean County Census Tract 7170.01,Ocean,Jackson Township,6774,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 66.05,Middlesex,East Brunswick Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 66.07,Middlesex,East Brunswick Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 66.08,Middlesex,East Brunswick Township,8280,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 449,Morris,Dover Town,6503,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 450,Morris,Dover Town,7264,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 451,Morris,Wharton Borough,8079,2017-2021 American Community Survey 5-Year Estimates, 
Union County Census Tract 302,Union,Elizabeth City,9047,2017-2021 American Community Survey 5-Year Estimates, 
Union County Census Tract 304,Union,Elizabeth City,6849,2017-2021 American Community Survey 5-Year Estimates, 
Union County Census Tract 306,Union,Elizabeth City,6711,2017-2021 American Community Survey 5-Year Estimates, 
Union County Census Tract 308.02,Union,Elizabeth City,10000,2017-2021 American Community Survey 5-Year Estimates, 
Union County Census Tract 311,Union,Elizabeth City,8208,2017-2021 American Community Survey 5-Year Estimates, 
Union County Census Tract 315,Union,Elizabeth City,10000,2017-2021 American Community Survey 5-Year Estimates, 
Somerset County Census Tract 537.05,Somerset,Hillsborough Township,6108,2017-2021 American Community Survey 5-Year Estimates, 
Ocean County Census Tract 7132.02,Ocean,Brick Township,6657,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 46,Middlesex,Perth Amboy City,6324,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 73.03,Middlesex,Sayreville Borough,6984,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 86.01,Middlesex,Plainsboro Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 18.04,Middlesex,Edison Township,8387,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 81.01,Middlesex,Spotswood Borough,8716,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 32.01,Middlesex,Woodbridge Township,8606,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 79.05,Middlesex,Old Bridge Township,6411,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 67.01,Middlesex,East Brunswick Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 67.03,Middlesex,East Brunswick Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 452,Morris,Mine Hill Township,7839,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 456.03,Morris,Randolph Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Morris County Census Tract 459.01,Morris,Chester Borough,10000,2017-2021 American Community Survey 5-Year Estimates, 
Union County Census Tract 322,Union,Hillside Township,8399,2017-2021 American Community Survey 5-Year Estimates, 
Union County Census Tract 323,Union,Hillside Township,8758,2017-2021 American Community Survey 5-Year Estimates, 
Union County Census Tract 325,Union,Hillside Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Union County Census Tract 326,Union,Union Township,9708,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 8.02,Middlesex,South Plainfield Borough,7083,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 72.03,Middlesex,Sayreville Borough,6753,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 58,Middlesex,New Brunswick City,5439,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 31.02,Middlesex,Woodbridge Township,9275,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 78.04,Middlesex,Old Bridge Township,6866,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 17.02,Middlesex,Edison Township,7908,2017-2021 American Community Survey 5-Year Estimates, 
Middlesex County Census Tract 84.06,Middlesex,South Brunswick Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 22.04,Essex,Newark City,5958,2017-2021 American Community Survey 5-Year Estimates, 
Essex County Census Tract 22.03,Essex,Newark City,,2017-2021 American Community Survey 5-Year Estimates,No Real Estate Tax Data
Mercer County Census Tract 8,Mercer,Trenton City,2933,2017-2021 American Community Survey 5-Year Estimates, 
Mercer County Census Tract 9,Mercer,Trenton City,3515,2017-2021 American Community Survey 5-Year Estimates, 
Mercer County Census Tract 10,Mercer,Trenton City,5788,2017-2021 American Community Survey 5-Year Estimates, 
Mercer County Census Tract 12,Mercer,Trenton City,6943,2017-2021 American Community Survey 5-Year Estimates, 
Union County Census Tract 387.01,Union,Fanwood Borough,10000,2017-2021 American Community Survey 5-Year Estimates, 
Union County Census Tract 387.02,Union,Fanwood Borough,10000,2017-2021 American Community Survey 5-Year Estimates, 
Union County Census Tract 335.02,Union,Union Township,9980,2017-2021 American Community Survey 5-Year Estimates, 
Union County Census Tract 324.02,Union,Hillside Township,9446,2017-2021 American Community Survey 5-Year Estimates, 
Union County Census Tract 313.01,Union,Elizabeth City,9833,2017-2021 American Community Survey 5-Year Estimates, 
Union County Census Tract 9800,Union,Elizabeth City,,2017-2021 American Community Survey 5-Year Estimates,No Real Estate Tax Data
Union County Census Tract 313.02,Union,Elizabeth City,7077,2017-2021 American Community Survey 5-Year Estimates, 
Union County Census Tract 398.01,Union,Elizabeth City,10000,2017-2021 American Community Survey 5-Year Estimates, 
Union County Census Tract 327.01,Union,Union Township,9244,2017-2021 American Community Survey 5-Year Estimates, 
Union County Census Tract 307.03,Union,Elizabeth City,9551,2017-2021 American Community Survey 5-Year Estimates, 
Union County Census Tract 381.03,Union,New Providence Borough,10000,2017-2021 American Community Survey 5-Year Estimates, 
Union County Census Tract 381.04,Union,New Providence Borough,10000,2017-2021 American Community Survey 5-Year Estimates, 
Union County Census Tract 327.02,Union,Union Township,9185,2017-2021 American Community Survey 5-Year Estimates, 
Union County Census Tract 335.01,Union,Union Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 61.01,Hudson,Jersey City,8310,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 59.01,Hudson,Jersey City,5719,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 61.02,Hudson,Jersey City,5549,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 77.01,Hudson,Jersey City,10000,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 77.02,Hudson,Jersey City,,2017-2021 American Community Survey 5-Year Estimates,No Real Estate Tax Data
Hudson County Census Tract 184.02,Hudson,Hoboken City,9334,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 148.01,Hudson,North Bergen Township,10000,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 148.02,Hudson,North Bergen Township,8583,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 144.01,Hudson,North Bergen Township,7754,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 144.02,Hudson,North Bergen Township,8900,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 59.02,Hudson,Jersey City,7387,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 20.02,Hudson,Jersey City,6820,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 76.02,Hudson,Jersey City,10000,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 76.01,Hudson,Jersey City,10000,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 77.03,Hudson,Jersey City,10000,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 150.03,Hudson,Guttenberg Town,9107,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 1.01,Hudson,Jersey City,7535,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 20.01,Hudson,Jersey City,8278,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 106.01,Hudson,Bayonne City,9415,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 41.04,Hudson,Jersey City,8259,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 41.03,Hudson,Jersey City,7599,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 31.02,Hudson,Jersey City,6739,2017-2021 American Community Survey 5-Year Estimates, 
Hudson County Census Tract 150.04,Hudson,Guttenberg Town,7588,2017-2021 American Community Survey 5-Year Estimates, 
Mercer County Census Tract 14.01,Mercer,Trenton City,4267,2017-2021 American Community Survey 5-Year Estimates, 
Mercer County Census Tract 15,Mercer,Trenton City,4365,2017-2021 American Community Survey 5-Year Estimates, 
